"station_id","obsTime","ELEV","WDIR","WDSD","TEMP","HUMD","PRES","SUN","H_24R","H_FX","H_XD","H_FXT","D_TX","D_TXT","D_TN","D_TNT"
"C0R560","2020-05-08 00:00:00","22.000","347.000","1.200","28.500","0.710","1007.900","","0.000","-99.000","-99.000","-99.000","33.000","","26.400",""
"C0F9P0","2020-05-08 00:00:00","26.000","19.000","1.000","26.600","0.990","1007.600","","0.000","-99.000","-99.000","-99.000","31.000","","24.500",""
"C0O970","2020-05-08 00:00:00","71.000","102.000","1.100","25.100","0.870","1002.000","","0.000","-99.000","-99.000","-99.000","35.600","","23.900",""
"C0F0B0","2020-05-08 00:00:00","311.000","81.000","0.800","25.000","0.830","975.400","","0.000","-99.000","-99.000","-99.000","30.000","","24.600",""
"C0R700","2020-05-08 00:00:00","19.000","53.000","1.900","26.500","0.780","1008.600","","0.000","-99.000","-99.000","-99.000","30.600","","26.000",""
"C0R780","2020-05-08 00:00:00","72.000","0.000","0.100","25.100","0.920","1004.200","","0.000","-99.000","-99.000","-99.000","31.600","","24.100",""
"C0R620","2020-05-08 00:00:00","34.000","35.000","1.100","25.700","0.940","1007.600","","0.000","-99.000","-99.000","-99.000","30.100","","25.500",""
"C0C660","2020-05-08 00:00:00","176.000","164.000","0.900","24.500","0.900","990.600","","22.000","-99.000","-99.000","-99.000","26.900","","21.700",""
"C0SA10","2020-05-08 00:00:00","411.000","345.000","0.700","22.800","1.000","965.700","","4.000","-99.000","-99.000","-99.000","26.500","","22.400",""
"C0M740","2020-05-08 00:00:00","15.000","225.000","0.400","27.300","0.850","1007.400","","0.000","-99.000","-99.000","-99.000","31.700","","26.000",""
"C0K460","2020-05-08 00:00:00","60.000","272.000","0.800","27.600","0.890","1002.200","","0.000","-99.000","-99.000","-99.000","32.900","","25.800",""
"C0X100","2020-05-08 00:00:00","10.000","0.000","0.100","29.200","0.670","1006.900","","0.000","-99.000","-99.000","-99.000","31.900","","28.000",""
